id,name_stati,x,y,pm10
1,K1 Hospital Entry,437290.8,3931183,110
2,Ganesa 1,437047.9,3931793,105
3,Ganesa 2,436656.3,3932154,99
4,Treatment Unit,437489.3,3933941,58
5,Baba Compound,439236.7,3932981,58
6,Kirkuk Refinery 2,439910.3,3932605,57
7,Landfill,439948.7,3931380,113
8,Kirkuk Refinery 1,439087.8,3932262,99
9,Oil Company Wall 1,442153.1,3931133,75
10,Oil Tanks,437479.8,3929887,110
11,Al-Amal Al-Shaby1,438919,3929440,99
12,Al-Amal Al-Shaby2,439386,3929078,163
13,Bagwan,435350,3932826,135
14,Oil Company Wall 2,441612.9,3932658,73
15,Eternity Fire,441098.5,3931666,69
16,Gorga Chal 1,442100.4,3933223,60
17,Gorga Chal 2,441716,3933653,58
18,Erbil Road1,443065,3932176,103
19,Shoraw Hospital,443902,3931283,139
20,Oil Company Wall3,442481.8,3930084,72
21,Shoraw Entry,443868,3930768,128
22,Shoraw,446287.8,3930701,48
23,Arafa 2000 Dar,442061.8,3928365,180
24,Al-Amal Al-Shaby3,440062,3928657,180
25,Al-Amal Al-Shaby4,441033,3928306,174
26,Arafa   2,442026,3927277,200
27,Arafa 3,442850,3927123,210
28,Rahimawa,445070,3928440,125
29,Arafa 4,443560.4,3927977,176
30,Taba,444166.8,3927802,152
31,Erbil Road 2,444136,3928431,157
32,Kirkuk Stadium Club,444244,3926939,189
33,Almas,444103,3926596,212
34,Arafa Entry,443353,3926296,215
35,Tikrit Road 1,441969.6,3922970,150
36,Kirkuk Gas Filling Plant,442613.5,3924499,168
37,Bader District,439643.1,3921307,103
38,Tikrit Road 2,440305.8,3921595,100
39,Baath District,441921,3921282,124
40,Corniche1,444667.4,3924509,170
41,Khabat Bridge,445064,3925623,265
42,Al-Jumhori Hospital,444197,3924463,170
43,Azadi,446352,3926436,500
44,Al-Shorga,446355,3924352,167
45,Baghdad Garage,442935,3923852,162
46,Quds Street 1,442540.4,3921314,110
47,Quds Street 2,443386.3,3922774,108
48,Corniche2,444312.6,3923040,173
49,Baghdad Street,443627,3922184,241
50,Al-Musala,445158,3923162,175
51,Al-Qadisiya,446941,3920471,142
52,Sahat Ihtifalat1,441360.8,3920477,95
53,North Gas Housing,440138,3920011,110
54,Tikrit Chick Point,438156.4,3919526,89
55,Sahat Ihtifalat2,441744.1,3920073,100
